cod;nome;período;ipeahomicidio-de-jovens-por-armas-de-fogo;ipeahomicidios-de-homens-por-armas-de-fogo;ipeahomicidios-de-jovens-homens;ipeahomicidios-de-jovens-mulheres;ipeahomicidios-de-jovens;ipeahomicidios-de-mulheres-por-armas-de-fogo;ipeahomicidios-homens-nao-negros;ipeahomicidios-homens-negros;ipeahomicidios-homens;ipeahomicidios-mulheres-nao-negras;ipeahomicidios-mulheres-negras;ipeahomicidios-mulheres;ipeahomicidios-nao-negros;ipeahomicidios-negros;ipeahomicidios-por-armas-de-fogo;ipeahomicidios
53;DF;1989;331;331;331;331;331;331;331;331;331;331;331;331;331;331;331;331
11;RO;1989;490;490;490;490;490;490;490;490;490;490;490;490;490;490;490;490
12;AC;1989;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95
13;AM;1989;321;321;321;321;321;321;321;321;321;321;321;321;321;321;321;321
14;RR;1989;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113
15;PA;1989;666;666;666;666;666;666;666;666;666;666;666;666;666;666;666;666
16;AP;1989;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39
17;TO;1989;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63
21;MA;1989;411;411;411;411;411;411;411;411;411;411;411;411;411;411;411;411
22;PI;1989;142;142;142;142;142;142;142;142;142;142;142;142;142;142;142;142
23;CE;1989;607;607;607;607;607;607;607;607;607;607;607;607;607;607;607;607
24;RN;1989;236;236;236;236;236;236;236;236;236;236;236;236;236;236;236;236
25;PB;1989;461;461;461;461;461;461;461;461;461;461;461;461;461;461;461;461
26;PE;1989;2553;2553;2553;2553;2553;2553;2553;2553;2553;2553;2553;2553;2553;2553;2553;2553
27;AL;1989;805;805;805;805;805;805;805;805;805;805;805;805;805;805;805;805
28;SE;1989;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139
29;BA;1989;1086;1086;1086;1086;1086;1086;1086;1086;1086;1086;1086;1086;1086;1086;1086;1086
31;MG;1989;1216;1216;1216;1216;1216;1216;1216;1216;1216;1216;1216;1216;1216;1216;1216;1216
32;ES;1989;845;845;845;845;845;845;845;845;845;845;845;845;845;845;845;845
33;RJ;1989;4290;4290;4290;4290;4290;4290;4290;4290;4290;4290;4290;4290;4290;4290;4290;4290
35;SP;1989;9179;9179;9179;9179;9179;9179;9179;9179;9179;9179;9179;9179;9179;9179;9179;9179
41;PR;1989;1112;1112;1112;1112;1112;1112;1112;1112;1112;1112;1112;1112;1112;1112;1112;1112
42;SC;1989;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354;354
43;RS;1989;1561;1561;1561;1561;1561;1561;1561;1561;1561;1561;1561;1561;1561;1561;1561;1561
50;MS;1989;371;371;371;371;371;371;371;371;371;371;371;371;371;371;371;371
51;MT;1989;471;471;471;471;471;471;471;471;471;471;471;471;471;471;471;471
52;GO;1989;810;810;810;810;810;810;810;810;810;810;810;810;810;810;810;810
43;RS;1990;1704;1704;1704;1704;1704;1704;1704;1704;1704;1704;1704;1704;1704;1704;1704;1704
11;RO;1990;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555
12;AC;1990;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64
13;AM;1990;367;367;367;367;367;367;367;367;367;367;367;367;367;367;367;367
14;RR;1990;127;127;127;127;127;127;127;127;127;127;127;127;127;127;127;127
15;PA;1990;748;748;748;748;748;748;748;748;748;748;748;748;748;748;748;748
16;AP;1990;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46
17;TO;1990;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54
21;MA;1990;442;442;442;442;442;442;442;442;442;442;442;442;442;442;442;442
22;PI;1990;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109
23;CE;1990;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555
24;RN;1990;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200
25;PB;1990;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440
